Id,Role,BusinessPermission,ISDataType
1,Ausschuss:Leihkommission,READ Leihanfrage (Comp),Leihanfrage (Comp)
2,Kommunikation:Kommunikation,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp)
3,Sammlund und Wissenschaft:Restaurator,WRITE Protokoll (Comp),Protokoll (Comp)
4,Sammlung und Wissenschaft:Depotmeister,READ/WRITE Protokoll (Comp),Protokoll (Comp)
5,Sammlung und Wissenschaft:Depotmeister,WRITE Standortdaten (Coll),Standortdaten (Coll)
6,Sammlung und Wissenschaft:Kunstvermittler,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp)
7,Sammlung und Wissenschaft:Kurator,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp)
8,Sammlung und Wissenschaft:Kurator,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll)
9,Sammlung und Wissenschaft:Kurator,READ CRM-Eintrag (Comp),CRM-Eintrag (Comp)
10,Sammlung und Wissenschaft:Kurator,READ Fremdes Ausstellungsobjekt (Comp),Fremdes Ausstellungsobjekt (Comp)
11,Sammlung und Wissenschaft:Kurator,READ/WRITE Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp)
12,Sammlung und Wissenschaft:Kurator,READ Literatur (Coll),Literatur (Coll)
13,Sammlung und Wissenschaft:Kurator,READ Standortdaten (Coll),Standortdaten (Coll)
14,Sammlung und Wissenschaft:Kurator,READ öffentliche und private Forschungsliteratur (Coll),öffentliche und private Forschungsliteratur (Coll)
16,Sammlung und Wissenschaft:Kurator,READ/WRITE Bestätigung des,Bestätigung des Leihgesuchs (Comp)
17,Sammlung und Wissenschaft:Kurator,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp)
18,Sammlung und Wissenschaft:Kurator,WRITE Ablehnung Leihanfrage (Comp),Ablehnung Leihanfrage (Comp)
20,Sammlung und Wissenschaft:Kurator,WRITE Bestätigung Leihanfrage (Comp),Bestätigung Leihanfrage (Comp)
22,Sammlung und Wissenschaft:Kurator,WRITE Leihgesuch (Comp),Leihgesuch (Comp)
23,Sammlung und Wissenschaft:Kurator,WRITE Protokoll (Comp),Protokoll (Comp)
24,Sammlung und Wissenschaft:Registrar,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp)
25,Sammlung und Wissenschaft:Registrar,READ Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs (Comp)
26,Sammlung und Wissenschaft:Registrar,READ/WRITE CRM-Eintrag (Comp),CRM-Eintrag (Comp)
28,Sammlung und Wissenschaft:Registrar,WRITE Leihvertrag (Comp),Leihvertrag (Comp)
29,Sammlung und Wissenschaft:Restaurator,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll)
30,Sammlung und Wissenschaft:Restaurator,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp)
31,Sammlung und Wissenschaft:Restaurator,READ/WRITE Protokoll (Comp),Protokoll (Comp)
33,Vorstand:Direktor,READ Ablehnung Leihanfrage (Comp),Ablehnung Leihanfrage (Comp)
34,Vorstand:Direktor,READ Bestätigung Leihanfrage (Comp),Bestätigung Leihanfrage (Comp)
35,Vorstand:Direktor,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp)
36,Vorstand:Direktor,READ/WRITE Leihgesuch (Comp),Leihgesuch (Comp)
37,Vorstand:Direktor,READ/WRITE Ablehnung Leihanfrage,Ablehnung Leihanfrage (Comp)
38,Vorstand:Direktor,READ/WRITE Bestätigung Leihanfrage,Bestätigung Leihanfrage (Comp)
40,Vorstand:Direktor,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp)
41,Vorstand:Direktor,WRITE Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs (Comp)
42,Vorstand:Direktor,WRITE Leihanfrage (Comp),Leihanfrage (Comp)
43,Vorstand:Kaufmännische Geschäftsführer,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp)
