Rolle;Berechtigungen;Erbt_von
Ausschuss:Leihkommission;[READ Leihanfrage (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Ausschuss:Wissenschaftsversammlung;[];Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Kommunikation:Kommunikation;[READ Ausstellungskonzept (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kunstvermittler,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlund und Wissenschaft:Restaurator;[WRITE Protokoll (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Depotmeister;[READ/WRITE Protokoll (Comp), WRITE Standortdaten (Coll)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Kunstvermittler;[READ Ausstellungskonzept (Comp)];Ausschuss:Wissenschaftsversammlung,Kommunikation:Kommunikation,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Kurator;[READ/WRITE Ausstellungskonzept (Comp), READ/WRITE Kosten- und Finanzierungsplan (Comp), READ Ausstellungsobjekte (Coll), READ Literatur (Coll), READ Standortdaten (Coll), READ öffentliche und private Forschungsliteratur (Coll), READ CRM-Eintrag (Comp), READ Fremdes Ausstellungsobjekt (Comp), WRITE Leihgesuch (Comp), READ/WRITE Bestätigung des, READ/WRITE Leihvertrag (Comp), WRITE Protokoll (Comp), , WRITE Bestätigung Leihanfrage (Comp), WRITE Ablehnung Leihanfrage (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlund und Wissenschaft:Restaurator,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Kurier;[];Ausschuss:Wissenschaftsversammlung,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Registrar;[, READ Bestätigung des Leihgesuchs (Comp), READ Ausstellungskonzept (Comp), WRITE Leihvertrag (Comp), READ/WRITE CRM-Eintrag (Comp)];Ausschuss:Wissenschaftsversammlung,Kommunikation:Kommunikation,Sammlung und Wissenschaft:Kunstvermittler,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Sammlung und Wissenschaft:Restaurator;[READ/WRITE Ausstellungskonzept (Comp), READ/WRITE Protokoll (Comp), READ Ausstellungsobjekte (Coll)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Vorstand:Direktor;[READ Kosten- und Finanzierungsplan (Comp), READ/WRITE Leihgesuch (Comp), WRITE Bestätigung des Leihgesuchs (Comp), READ/WRITE Leihvertrag (Comp), WRITE Leihanfrage (Comp), READ/WRITE Bestätigung Leihanfrage, READ Bestätigung Leihanfrage (Comp), READ/WRITE Ablehnung Leihanfrage, READ Ablehnung Leihanfrage (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Vorstand:Kaufmännische Geschäftsführer,Zentrale Dienste:Sicherheit
Vorstand:Kaufmännische Geschäftsführer;[READ Kosten- und Finanzierungsplan (Comp)];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier,Zentrale Dienste:Sicherheit
Zentrale Dienste:Sicherheit;[];Ausschuss:Wissenschaftsversammlung,Sammlung und Wissenschaft:Kurier
